0	1	[0, 0, 3, 0.625, -0.29746471521430434, 0.0, 0.0, 0.0, 1.0, -0.2687006779469368, -0.47268024198256614, -0.1302711374421672, 0.4162179176218626, -0.28318806973899285, -0.23860502561054578, 0.03843118610831613, 0.012661799850941794]
1	1	[1, 1, 2, 0.6875, -0.3079575663058011, 0.0, 1.0, -1.0, 0.0, -0.3029319373732906, -0.5504214826781871, -0.16964005148117195, 0.48536132559598566, -0.3125655834831424, -0.2778758233584763, 0.04176892050822124, 0.006336368383618735]
2	1	[2, 2, 5, 0.625, 2.1158191427020814, 0.0, -1.0, -1.0, 1.0, -0.2523943609701326, -0.4396960307485782, -0.13063132483512163, 0.4064907019098218, -0.27179479027310244, -0.2342635309431129, 0.03245079066523781, 0.012804491631686687]
3	1	[3, 3, 7, 0.875, -0.09286665003849215, 2.0, -1.0, -3.0, -1.0, -0.21729934885091073, -0.3730744574772748, -0.10558068334452204, 0.3372900552191847, -0.22606330614134268, -0.19726929050945752, 0.036859675411235644, 0.0017880621913669479]
4	1	[4, 4, 2, 0.941176471, -0.21602300370569624, -1.0, 0.0, 0.0, 0.0, -0.18515668045344907, -0.3162903468714121, -0.10565717779142662, 0.2916301288748792, -0.1786218517771794, -0.16678949161603568, 0.030552851034054924, 0.0028029306430728475]
5	1	[5, 3, 4, 0.75, -0.24889924843236647, -1.0, 0.0, -3.0, -1.0, -0.2152408377085205, -0.35012839103482013, -0.10718003962512897, 0.3244170670640533, -0.21402829027653714, -0.18649625352219396, 0.01850160644997073, 0.00317429221101085]
6	1	[6, 3, 2, 0.875, 0.13185866535144744, -1.0, -2.0, 1.0, 0.0, -0.27291833430949325, -0.4768464573955333, -0.14561329265019263, 0.4499600380129943, -0.29302712785746815, -0.25125449716473336, 0.04381819666543214, 0.011136470801747319]
7	1	[7, 2, 3, 0.375, -0.0226212683548202, 1.0, 1.0, -1.0, 0.0, -0.2700636565685272, -0.5256146306792895, -0.15886146786312264, 0.4653789022316535, -0.3046887621283531, -0.279641338189443, 0.04432820652921995, 0.01689458123097817]
8	1	[8, 5, 9, 0.875, -0.2179570309050379, 1.0, -1.0, 0.0, -1.0, -0.240271326250992, -0.41481829380109625, -0.13399463524685323, 0.3828427451662719, -0.24869143751544195, -0.21426142302719003, 0.035442588240780594, -0.0039038900230238304]
9	1	[9, 3, 3, 1.0, -0.26802294526217013, 0.0, 1.0, -1.0, -1.0, -0.2368057779717987, -0.4179547992553788, -0.12167728641932936, 0.371898537215132, -0.25392315301880136, -0.22349091958978518, 0.041426445150121984, -0.0017709900985136326]
